2026-02-21 13:13:56,526 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 13:14:07,982 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 13:14:07,987 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 13:14:07,992 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 13:14:28,841 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 13:14:28,844 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 13:14:28,846 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 13:14:39,295 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 13:14:39,301 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 13:14:39,306 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 13:14:41,434 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 13:14:41,435 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 13:14:43,249 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 13:15:30,434 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 13:15:30,437 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 13:15:30,441 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 13:15:32,872 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 13:15:32,875 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 13:15:34,688 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 15:30:25,556 - CAMERA: 1 | NAME: Camera 1 | CHANGE: online -> offline
2026-02-21 15:30:25,587 - CAMERA: 2 | NAME: Camera 2 | CHANGE: online -> offline
2026-02-21 15:30:25,645 - CAMERA: 3 | NAME: Camera 3 | CHANGE: online -> offline
2026-02-21 15:30:29,288 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 15:30:29,296 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 15:30:31,145 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-22 06:11:47,927 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 06:11:47,953 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 06:11:47,956 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 06:27:27,012 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 06:27:27,014 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 06:27:27,034 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 06:40:39,265 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 06:40:39,351 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 06:40:39,354 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 06:48:02,827 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 06:48:02,917 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 06:48:02,920 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 07:34:23,760 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 07:34:23,803 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 07:34:23,806 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 07:46:54,442 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 07:46:54,445 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 07:46:54,448 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 07:54:53,329 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 07:54:53,334 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 07:54:53,343 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 08:19:53,526 - CAMERA: 6 | NAME: Cam 3 | CHANGE: unknown -> offline
2026-02-22 08:19:53,884 - CAMERA: 4 | NAME: Cam 1 | CHANGE: unknown -> offline
2026-02-22 08:19:53,895 - CAMERA: 5 | NAME: Cam 2 | CHANGE: unknown -> offline
2026-02-22 08:19:56,219 - CAMERA: 6 | NAME: Cam 3 | CHANGE: offline -> online
2026-02-22 08:19:58,535 - CAMERA: 5 | NAME: Cam 2 | CHANGE: offline -> online
2026-02-22 08:19:58,537 - CAMERA: 4 | NAME: Cam 1 | CHANGE: offline -> online
2026-02-22 08:23:20,777 - CAMERA: 5 | NAME: Cam 2 | CHANGE: unknown -> offline
2026-02-22 08:23:20,781 - CAMERA: 6 | NAME: Cam 3 | CHANGE: unknown -> offline
2026-02-22 08:23:20,785 - CAMERA: 4 | NAME: Cam 1 | CHANGE: unknown -> offline
2026-02-22 08:23:22,607 - CAMERA: 6 | NAME: Cam 3 | CHANGE: offline -> online
2026-02-22 08:38:20,699 - CAMERA: 5 | NAME: Cam 2 | CHANGE: unknown -> offline
2026-02-22 08:50:42,371 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-22 08:50:42,376 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-22 08:50:42,380 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-22 10:40:03,057 - CAMERA: 4 | NAME: Cam 1 | CHANGE: unknown -> offline
2026-02-22 10:40:03,071 - CAMERA: 5 | NAME: Cam 2 | CHANGE: unknown -> offline
2026-02-22 10:40:03,082 - CAMERA: 6 | NAME: Cam 3 | CHANGE: unknown -> offline
2026-02-22 10:40:05,407 - CAMERA: 6 | NAME: Cam 3 | CHANGE: offline -> online
2026-02-22 10:40:08,724 - CAMERA: 4 | NAME: Cam 1 | CHANGE: offline -> online
2026-02-22 10:40:10,549 - CAMERA: 5 | NAME: Cam 2 | CHANGE: offline -> online
2026-02-22 10:42:57,486 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 10:42:57,490 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 10:42:57,498 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 10:42:59,631 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 10:42:59,634 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 10:43:01,444 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 10:44:48,867 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 10:44:48,872 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 10:44:48,877 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 10:44:50,695 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 10:44:50,704 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 10:44:52,537 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 10:58:26,108 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 10:58:26,109 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 10:58:26,121 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 10:58:28,274 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 10:58:28,279 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 10:58:28,283 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 10:59:15,764 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 10:59:15,768 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 10:59:15,774 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 10:59:17,598 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 10:59:17,600 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 10:59:19,412 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 11:02:22,759 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 11:02:22,770 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 11:02:22,784 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 11:02:24,960 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 11:02:24,967 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 11:02:26,789 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 11:03:05,456 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 11:03:05,463 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 11:03:05,471 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 11:03:07,618 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 11:03:07,622 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 11:03:07,625 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 13:02:24,199 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 13:02:24,301 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 13:02:24,351 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 13:02:26,486 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 13:02:26,488 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 13:02:28,309 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 13:36:34,408 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 13:36:34,413 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 13:36:34,417 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-22 13:36:36,549 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-22 13:36:36,551 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-22 13:36:38,366 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-22 13:57:33,360 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-22 13:57:33,361 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-22 13:57:33,370 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 08:18:56,032 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 08:18:56,070 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 08:18:56,083 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 08:18:58,252 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 08:18:58,258 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 08:19:00,083 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 09:22:04,274 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 09:22:04,301 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 09:22:04,312 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 09:22:06,449 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 09:22:06,451 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 09:22:08,262 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 09:29:29,706 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 09:29:29,714 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 09:29:29,720 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 09:29:31,536 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 09:29:31,548 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 09:29:33,667 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 09:32:14,235 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 09:32:14,241 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 09:32:14,251 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 09:32:16,389 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 09:32:16,391 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 09:32:18,201 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 09:32:31,069 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> online
2026-02-23 09:32:31,077 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> online
2026-02-23 09:32:31,082 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> online
2026-02-23 11:57:27,016 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 11:57:27,038 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 11:57:27,044 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 11:57:28,862 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 11:57:28,865 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 11:57:28,867 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 12:03:21,149 - CAMERA: 8 | NAME: C 2 | CHANGE: unknown -> offline
2026-02-23 12:03:21,158 - CAMERA: 7 | NAME: C 1 | CHANGE: unknown -> offline
2026-02-23 12:03:21,186 - CAMERA: 9 | NAME: C 3 | CHANGE: unknown -> offline
2026-02-23 12:03:23,428 - CAMERA: 9 | NAME: C 3 | CHANGE: offline -> online
2026-02-23 12:03:23,459 - CAMERA: 7 | NAME: C 1 | CHANGE: offline -> online
2026-02-23 12:03:23,488 - CAMERA: 8 | NAME: C 2 | CHANGE: offline -> online
2026-02-23 14:16:42,711 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:16:42,718 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:16:42,727 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:16:44,849 - CAMERA: 3 | NAME: برند محصول | CHANGE: offline -> online
2026-02-23 14:16:44,851 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:16:44,852 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:18:12,125 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: unknown -> offline
2026-02-23 14:18:12,130 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: unknown -> offline
2026-02-23 14:18:12,131 - CAMERA: 3 | NAME: برند محصول | CHANGE: unknown -> offline
2026-02-23 14:18:13,946 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
2026-02-23 14:18:13,947 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: offline -> online
2026-02-23 14:18:19,592 - CAMERA: 2 | NAME: لیبل سریال محصول | CHANGE: online -> offline
2026-02-23 14:18:19,596 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: online -> offline
2026-02-23 14:18:21,717 - CAMERA: 1 | NAME: لیبل کارتن محصول | CHANGE: offline -> online
